datetime_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-25 01:00:00,5,1922.61,51.86,22.96,1.61,53.88,66.82,88.41,14.69
2020-11-25 02:00:00,5,2243.04,62.59,34.27,4.87,73.43,72.41,96.33,18.75
2020-11-25 03:00:00,5,2296.45,59.9,56.21,13.41,94.41,78.21,104.83,23.31
2020-11-25 04:00:00,4,1188.28,22.13,55.52,65.09,82.02,47.59,62.52,13.05
2020-11-25 05:00:00,5,1001.36,10.51,52.09,123.02,82.02,56.25,70.02,11.4
2020-11-25 06:00:00,5,907.9,5.92,43.53,167.37,77.25,63.6,77.39,9.88
2020-11-25 07:00:00,4,761.03,1.98,41.81,134.47,61.99,42.6,54.24,8.36
2020-11-25 08:00:00,4,774.38,2.12,48.67,92.98,61.04,30.08,40.95,8.87
2020-11-25 09:00:00,4,794.41,2.07,54.15,73.67,60.56,26.15,36.62,9.5
2020-11-25 10:00:00,5,2243.04,8.27,94.59,27.9,70.57,56.15,75.4,22.04
2020-11-25 11:00:00,5,4486.08,41.13,113.79,0.63,80.11,113.84,147.34,36.99
2020-11-25 12:00:00,5,5767.82,77.78,94.59,0.0,78.2,170.19,217.22,36.99
2020-11-25 13:00:00,5,6462.1,98.35,78.14,0.0,76.29,221.27,281.03,31.41
2020-11-25 14:00:00,5,6355.29,100.14,66.49,0.0,72.48,236.96,301.6,25.33
2020-11-25 15:00:00,5,5393.98,84.94,58.26,0.0,66.76,210.86,271.76,20.01
2020-11-25 16:00:00,5,3578.19,57.22,50.04,0.0,58.65,140.71,188.28,14.69
2020-11-25 17:00:00,5,3231.05,56.33,50.04,0.0,52.45,125.68,169.05,11.78
2020-11-25 18:00:00,5,3124.24,55.88,53.47,0.0,44.35,124.33,168.91,10.64
2020-11-25 19:00:00,5,3417.97,59.9,55.52,0.0,37.19,145.11,195.22,10.77
2020-11-25 20:00:00,5,3631.59,59.9,52.78,0.0,32.9,159.65,210.31,10.77
2020-11-25 21:00:00,5,3364.56,54.09,46.61,0.0,30.52,151.35,195.7,10.77
2020-11-25 22:00:00,5,2670.29,45.15,37.7,0.0,30.52,121.75,156.2,11.02
2020-11-25 23:00:00,5,2056.12,39.79,30.16,0.0,32.9,92.34,118.68,11.53
2020-11-26 00:00:00,5,2002.72,43.36,26.39,0.14,40.05,83.4,108.1,15.45
2020-11-26 01:00:00,5,2136.23,54.09,29.82,1.06,57.22,77.28,100.83,18.24
2020-11-26 02:00:00,5,2216.34,60.8,36.67,3.58,72.48,73.97,97.49,20.77
2020-11-26 03:00:00,5,2056.12,57.22,46.61,8.76,84.88,69.68,93.39,22.29
2020-11-26 04:00:00,4,1054.76,21.91,48.67,30.76,67.71,38.28,51.52,11.78
2020-11-26 05:00:00,4,907.9,12.74,50.72,53.64,68.67,35.28,46.77,10.13
2020-11-26 06:00:00,4,907.9,9.16,52.09,77.96,75.34,39.3,51.04,9.88
2020-11-26 07:00:00,4,847.82,5.59,48.67,91.55,70.57,38.03,48.73,8.87
2020-11-26 08:00:00,4,867.84,3.58,54.84,85.83,71.53,36.44,46.82,9.37
2020-11-26 09:00:00,4,961.3,1.55,65.8,70.81,79.16,36.59,47.74,10.64
2020-11-26 10:00:00,5,1976.01,1.38,113.79,27.18,101.09,60.41,79.82,20.77
2020-11-26 11:00:00,5,3311.16,17.43,149.43,0.32,115.4,101.82,132.82,32.93
2020-11-26 12:00:00,5,3471.37,29.5,137.09,0.0,94.41,121.47,160.67,35.97
2020-11-26 13:00:00,5,3685.0,39.34,105.56,0.0,69.62,145.85,195.5,33.44
2020-11-26 14:00:00,5,4379.27,56.33,85.68,0.0,62.94,187.46,248.82,31.41
2020-11-26 15:00:00,5,4966.74,69.74,77.46,0.0,61.99,228.87,300.67,31.67
2020-11-26 16:00:00,5,5126.95,76.89,73.34,0.0,56.74,246.79,321.6,30.15
2020-11-26 17:00:00,5,5126.95,83.15,72.66,0.0,47.68,249.68,319.91,22.04
2020-11-26 18:00:00,5,5233.76,87.62,71.97,0.0,40.05,258.95,326.15,16.97
2020-11-26 19:00:00,5,4753.11,72.42,69.23,0.0,30.28,232.63,288.21,13.68
2020-11-26 20:00:00,5,3898.62,53.64,61.69,0.0,26.46,184.62,226.6,11.53
2020-11-26 21:00:00,5,3150.94,44.26,50.04,0.0,27.42,144.32,175.94,10.51
2020-11-26 22:00:00,5,2216.34,34.87,40.78,0.0,30.99,99.63,122.38,9.88
2020-11-26 23:00:00,5,1628.88,31.74,34.27,0.0,36.24,73.05,92.49,10.26
2020-11-27 00:00:00,5,1668.93,41.13,32.22,0.81,51.02,69.92,90.4,13.81
2020-11-27 01:00:00,5,2162.93,63.48,39.07,4.51,82.02,83.66,107.71,17.99
2020-11-27 02:00:00,5,2910.61,81.36,65.8,11.8,117.3,116.49,148.14,23.31
2020-11-27 03:00:00,5,3337.86,67.06,123.38,38.27,154.5,168.02,206.9,25.59
2020-11-27 04:00:00,5,2296.45,18.33,137.09,56.51,135.42,146.98,178.0,15.83
2020-11-27 05:00:00,5,1762.39,7.49,108.3,62.23,114.44,99.77,123.98,14.06
2020-11-27 06:00:00,5,1348.5,3.63,79.51,70.81,95.37,63.47,82.51,12.67
2020-11-27 07:00:00,4,1001.36,2.15,58.26,75.82,76.29,41.7,55.73,10.01
2020-11-27 08:00:00,4,934.6,1.68,56.89,65.8,73.43,34.53,46.0,9.63
2020-11-27 09:00:00,4,961.3,1.02,63.06,56.51,77.25,34.02,44.81,10.13
2020-11-27 10:00:00,5,3524.78,29.5,113.79,6.26,94.41,91.67,115.88,29.64
2020-11-27 11:00:00,5,7690.43,121.59,126.12,0.01,106.81,205.62,252.85,51.68
2020-11-27 12:00:00,5,9933.47,178.81,120.64,0.0,99.18,303.75,373.77,54.21
2020-11-27 13:00:00,5,11001.59,203.85,111.04,0.0,99.18,397.29,491.46,56.24
2020-11-27 14:00:00,5,11856.08,221.73,101.45,0.0,111.58,484.53,603.91,72.96
2020-11-27 15:00:00,5,11322.02,203.85,97.33,0.0,121.12,501.0,632.6,93.22
2020-11-27 16:00:00,5,9399.41,166.3,87.74,0.0,109.67,428.83,548.42,89.17
2020-11-27 17:00:00,5,7476.81,135.9,71.97,0.0,68.67,336.24,426.05,45.6
2020-11-27 18:00:00,5,5661.01,101.03,60.32,0.0,42.44,240.44,295.18,26.09
2020-11-27 19:00:00,5,1735.69,18.77,45.93,0.17,27.42,63.9,78.93,13.81
2020-11-27 20:00:00,4,814.44,3.35,35.3,2.66,20.74,29.46,37.84,9.75
2020-11-27 21:00:00,3,607.49,0.95,30.5,7.24,20.03,22.26,29.12,8.74
2020-11-27 22:00:00,3,594.14,0.62,29.82,9.74,20.98,21.09,27.88,8.23
2020-11-27 23:00:00,3,634.19,0.78,30.85,8.94,22.65,20.96,27.99,8.36
2020-11-28 00:00:00,3,807.76,5.03,31.19,8.67,26.94,24.46,32.94,9.5
2020-11-28 01:00:00,4,1001.36,14.19,28.45,18.77,34.33,27.15,36.52,10.51
2020-11-28 02:00:00,4,1121.52,17.88,32.9,28.61,42.92,30.17,40.53,12.03
2020-11-28 03:00:00,4,1041.41,14.75,38.04,47.92,51.02,32.07,42.53,11.91
2020-11-28 04:00:00,3,667.57,4.58,29.82,73.67,39.1,21.87,28.37,6.84
2020-11-28 05:00:00,2,600.82,2.43,29.82,77.96,40.05,19.31,25.09,6.14
2020-11-28 06:00:00,2,600.82,1.33,32.22,75.82,43.39,18.82,24.87,6.14
2020-11-28 07:00:00,2,600.82,0.64,33.93,68.67,43.39,17.21,22.74,5.95
2020-11-28 08:00:00,2,634.19,0.2,38.39,58.65,45.3,17.13,22.52,6.21
2020-11-28 09:00:00,2,680.92,0.06,42.16,50.78,45.78,18.05,23.86,6.46
2020-11-28 10:00:00,3,867.84,0.04,54.84,34.33,52.45,21.98,28.9,7.47
2020-11-28 11:00:00,4,1201.63,1.1,75.4,10.91,66.76,31.39,39.81,8.99
2020-11-28 12:00:00,4,1468.66,8.05,80.2,0.74,76.29,42.89,52.95,9.5
2020-11-28 13:00:00,5,1735.69,18.55,72.66,0.03,78.2,56.33,68.69,10.51
