datetime,date,time,temp,weather,wind,wind_direction,humidity,pressure,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2021-01-01 00:00:00,2021-01-01,00:00,24.0,Passing clouds.,13,30.0,61.0,1012.0,3,700.95,0.44,35.99,17.35,32.9,20.33,26.64,8.99
2021-01-01 01:00:00,2021-01-01,01:00,24.0,Passing clouds.,11,40.0,61.0,1011.0,3,847.82,2.46,38.04,18.06,36.24,23.32,30.54,9.37
2021-01-01 02:00:00,2021-01-01,02:00,23.0,Passing clouds.,9,20.0,65.0,1011.0,3,894.55,5.25,38.39,23.25,41.01,24.16,31.93,9.25
2021-01-01 03:00:00,2021-01-01,03:00,23.0,Passing clouds.,7,10.0,65.0,1011.0,3,827.79,6.2,36.33,33.98,43.39,23.2,30.91,8.61
2021-01-01 04:00:00,2021-01-01,04:00,23.0,Passing clouds.,13,50.0,65.0,1011.0,2,660.9,3.69,29.13,54.36,35.76,19.5,25.6,6.21
2021-01-01 05:00:00,2021-01-01,05:00,23.0,Passing clouds.,9,40.0,65.0,1011.0,3,614.17,2.77,27.76,67.95,34.81,20.08,25.64,5.32
2021-01-01 06:00:00,2021-01-01,06:00,23.0,Passing clouds.,9,30.0,65.0,1011.0,3,600.82,2.38,26.05,80.82,34.33,21.1,26.28,5.0
2021-01-01 07:00:00,2021-01-01,07:00,23.0,Partly sunny.,11,20.0,65.0,1012.0,3,554.09,1.9,22.28,91.55,28.85,20.34,25.04,4.43
2021-01-01 08:00:00,2021-01-01,08:00,23.0,Partly sunny.,7,10.0,65.0,1013.0,2,514.03,1.17,20.74,85.83,24.32,17.08,21.14,3.96
2021-01-01 09:00:00,2021-01-01,09:00,24.0,Partly sunny.,7,10.0,61.0,1013.0,2,500.68,0.66,19.19,75.1,20.98,14.04,17.46,3.61
2021-01-01 10:00:00,2021-01-01,10:00,26.0,Scattered clouds.,11,40.0,54.0,1013.0,2,520.71,0.14,19.88,64.37,20.27,12.91,15.99,3.61
2021-01-01 11:00:00,2021-01-01,11:00,28.0,Scattered clouds.,11,40.0,48.0,1013.0,2,560.76,0.01,21.25,55.79,20.98,13.44,16.67,4.12
2021-01-01 12:00:00,2021-01-01,12:00,28.0,Partly sunny.,11,30.0,48.0,1012.0,2,554.09,0.0,20.74,50.78,20.74,14.14,17.73,4.62
2021-01-01 13:00:00,2021-01-01,13:00,30.0,Partly sunny.,15,40.0,46.0,1010.0,2,560.76,0.0,21.25,46.49,21.7,15.2,19.45,5.26
2021-01-01 14:00:00,2021-01-01,14:00,29.0,Partly sunny.,19,40.0,45.0,1010.0,2,560.76,0.0,22.62,43.27,23.37,16.5,21.25,5.76
2021-01-01 15:00:00,2021-01-01,15:00,29.0,Partly sunny.,11,60.0,45.0,1009.0,2,567.44,0.0,23.65,40.41,24.56,17.81,22.77,6.14
2021-01-01 16:00:00,2021-01-01,16:00,28.0,Partly sunny.,15,50.0,51.0,1010.0,2,567.44,0.01,25.36,37.55,25.99,18.17,22.96,6.27
2021-01-01 17:00:00,2021-01-01,17:00,27.0,Partly sunny.,15,10.0,51.0,1010.0,2,520.71,0.01,25.02,36.48,25.27,16.35,20.5,5.7
2021-01-01 18:00:00,2021-01-01,18:00,27.0,Passing clouds.,13,10.0,51.0,1011.0,2,447.27,0.0,20.22,40.77,20.74,13.82,17.18,5.13
2021-01-01 19:00:00,2021-01-01,19:00,26.0,Passing clouds.,11,30.0,54.0,1011.0,2,407.22,0.0,18.17,43.63,17.88,11.86,14.89,5.19
2021-01-01 20:00:00,2021-01-01,20:00,26.0,Passing clouds.,13,10.0,54.0,1012.0,2,410.56,0.0,19.71,42.2,19.07,11.66,14.86,5.89
2021-01-01 21:00:00,2021-01-01,21:00,25.0,Passing clouds.,15,30.0,57.0,1012.0,2,417.23,0.0,21.25,41.13,20.5,12.26,15.68,6.4
2021-01-01 22:00:00,2021-01-01,22:00,24.0,Passing clouds.,13,20.0,61.0,1012.0,2,433.92,0.01,22.62,39.7,22.17,13.24,16.85,6.59
2021-01-01 23:00:00,2021-01-01,23:00,24.0,Passing clouds.,11,10.0,61.0,1012.0,2,447.27,0.01,23.65,37.91,22.65,14.17,18.05,6.59
2021-01-02 00:00:00,2021-01-02,00:00,23.0,Passing clouds.,11,10.0,65.0,1011.0,2,520.71,0.05,25.71,35.05,23.13,16.75,21.63,7.09
2021-01-02 01:00:00,2021-01-02,01:00,23.0,Passing clouds.,11,20.0,65.0,1011.0,3,654.22,0.82,29.82,31.11,27.18,20.26,25.51,7.16
2021-01-02 02:00:00,2021-01-02,02:00,23.0,Passing clouds.,11,10.0,65.0,1011.0,3,720.98,2.49,31.19,30.76,31.47,22.14,27.29,6.9
2021-01-02 03:00:00,2021-01-02,03:00,22.0,Passing clouds.,9,20.0,69.0,1010.0,3,694.28,3.69,29.82,36.48,32.9,22.5,27.49,6.59
2021-01-02 04:00:00,2021-01-02,04:00,22.0,Passing clouds.,7,10.0,69.0,1010.0,3,614.17,4.58,24.33,53.64,30.04,21.38,26.25,5.95
2021-01-02 05:00:00,2021-01-02,05:00,22.0,Passing clouds.,7,0.0,73.0,1010.0,3,587.46,4.41,23.65,77.25,31.47,23.12,28.1,5.83
2021-01-02 06:00:00,2021-01-02,06:00,22.0,Passing clouds.,6,350.0,73.0,1011.0,4,580.79,3.44,21.59,110.15,32.9,28.57,33.71,5.95
2021-01-02 07:00:00,2021-01-02,07:00,22.0,Partly sunny.,4,310.0,73.0,1012.0,4,520.71,2.01,16.45,131.61,26.46,29.56,33.88,5.07
2021-01-02 08:00:00,2021-01-02,08:00,22.0,Partly sunny.,11,320.0,73.0,1012.0,4,527.38,1.82,18.85,133.04,28.61,30.22,34.29,5.07
2021-01-02 09:00:00,2021-01-02,09:00,24.0,Partly sunny.,7,330.0,65.0,1013.0,4,587.46,1.61,24.33,133.04,34.81,32.71,37.24,5.64
2021-01-02 10:00:00,2021-01-02,10:00,26.0,Partly sunny.,11,0.0,58.0,1012.0,4,781.06,1.08,41.81,121.59,51.98,40.83,47.16,7.98
2021-01-02 11:00:00,2021-01-02,11:00,28.0,Scattered clouds.,9,20.0,51.0,1011.0,5,1054.76,0.09,60.32,94.41,68.67,50.14,59.7,11.27
2021-01-02 12:00:00,2021-01-02,12:00,29.0,Passing clouds.,9,350.0,51.0,1010.0,5,1161.58,0.0,61.01,65.8,65.8,51.58,64.58,13.05
2021-01-02 13:00:00,2021-01-02,13:00,29.0,Passing clouds.,11,0.0,48.0,1010.0,4,1108.17,0.0,54.84,43.27,53.41,46.22,61.93,13.17
2021-01-02 14:00:00,2021-01-02,14:00,30.0,Passing clouds.,13,350.0,46.0,1009.0,4,961.3,0.01,48.67,28.61,47.21,37.33,51.75,12.29
2021-01-02 15:00:00,2021-01-02,15:00,31.0,Scattered clouds.,15,340.0,46.0,1008.0,4,774.38,0.04,39.76,23.6,39.1,27.16,37.66,10.51
2021-01-02 16:00:00,2021-01-02,16:00,30.0,Scattered clouds.,19,0.0,49.0,1008.0,2,620.84,0.03,32.56,25.39,32.42,19.32,26.26,8.74
2021-01-02 17:00:00,2021-01-02,17:00,28.0,Partly sunny.,13,20.0,51.0,1009.0,2,560.76,0.03,30.5,26.82,30.52,15.82,21.08,7.66
2021-01-02 18:00:00,2021-01-02,18:00,28.0,Passing clouds.,11,40.0,55.0,1010.0,2,527.38,0.03,30.16,27.18,30.28,14.89,19.46,7.41
2021-01-02 19:00:00,2021-01-02,19:00,28.0,Passing clouds.,7,40.0,55.0,1010.0,2,500.68,0.03,29.47,26.11,29.09,14.76,19.1,7.54
2021-01-02 20:00:00,2021-01-02,20:00,28.0,Passing clouds.,7,10.0,58.0,1011.0,2,494.0,0.07,30.16,22.89,27.66,15.28,19.7,8.04
2021-01-02 21:00:00,2021-01-02,21:00,27.0,Passing clouds.,9,30.0,58.0,1011.0,2,494.0,0.13,30.5,19.31,26.46,15.9,20.43,8.61
2021-01-02 22:00:00,2021-01-02,22:00,26.0,Passing clouds.,11,20.0,61.0,1011.0,2,500.68,0.28,31.87,15.56,26.94,16.79,21.52,9.12
2021-01-02 23:00:00,2021-01-02,23:00,25.0,Passing clouds.,11,20.0,61.0,1011.0,2,534.06,0.89,34.62,9.21,30.04,18.93,24.23,9.75
2021-01-03 00:00:00,2021-01-03,00:00,25.0,Passing clouds.,11,30.0,65.0,1011.0,3,660.9,4.3,37.01,2.62,35.29,24.22,31.27,11.4
2021-01-03 01:00:00,2021-01-03,01:00,24.0,Passing clouds.,7,20.0,65.0,1011.0,4,921.25,16.32,36.67,2.77,49.11,33.04,42.42,13.43
2021-01-03 02:00:00,2021-01-03,02:00,24.0,Passing clouds.,7,10.0,69.0,1010.0,4,1161.58,29.95,39.07,6.62,68.67,42.44,54.08,15.33
2021-01-03 03:00:00,2021-01-03,03:00,23.0,Passing clouds.,6,0.0,74.0,1009.0,5,1348.5,40.23,49.35,12.52,92.51,54.06,67.89,17.23
2021-01-03 04:00:00,2021-01-03,04:00,23.0,Passing clouds.,6,20.0,74.0,1009.0,5,1161.58,25.26,58.95,34.69,86.78,54.91,66.94,13.17
2021-01-03 05:00:00,2021-01-03,05:00,23.0,Passing clouds.,6,0.0,74.0,1010.0,5,1121.52,15.65,67.86,72.96,90.6,66.96,78.36,11.53
2021-01-03 06:00:00,2021-01-03,06:00,22.0,Passing clouds.,4,0.0,83.0,1010.0,5,1174.93,10.28,71.97,127.32,99.18,92.56,104.59,10.64
2021-01-03 07:00:00,2021-01-03,07:00,23.0,Scattered clouds.,6,0.0,78.0,1011.0,5,1068.12,4.64,57.58,170.23,84.88,97.34,108.36,9.37
2021-01-03 08:00:00,2021-01-03,08:00,25.0,Scattered clouds.,4,0.0,74.0,1012.0,5,1054.76,1.84,51.41,185.97,76.29,99.22,110.2,8.87
2021-01-03 09:00:00,2021-01-03,09:00,26.0,Scattered clouds.,6,0.0,65.0,1012.0,5,1081.47,0.53,48.67,185.97,70.57,97.4,109.81,9.12
2021-01-03 10:00:00,2021-01-03,10:00,28.0,Scattered clouds.,7,0.0,62.0,1012.0,5,1228.33,0.2,61.01,153.07,74.39,97.7,112.83,12.29
2021-01-03 11:00:00,2021-01-03,11:00,29.0,Scattered clouds.,6,0.0,58.0,1011.0,5,1348.5,0.02,67.17,95.84,72.48,86.56,103.26,15.07
2021-01-03 12:00:00,2021-01-03,12:00,30.0,Passing clouds.,4,0.0,55.0,1010.0,5,1228.33,0.0,55.52,53.64,55.79,62.15,79.72,14.95
2021-01-03 13:00:00,2021-01-03,13:00,31.0,Passing clouds.,4,0.0,49.0,1009.0,4,1108.17,0.01,46.61,34.33,44.82,47.76,67.72,13.93
2021-01-03 14:00:00,2021-01-03,14:00,32.0,Scattered clouds.,6,0.0,46.0,1008.0,5,1174.93,0.28,56.21,17.17,53.41,50.7,72.96,14.69
2021-01-03 15:00:00,2021-01-03,15:00,32.0,Scattered clouds.,6,0.0,49.0,1007.0,5,1455.31,4.64,77.46,1.81,72.48,66.08,91.86,17.48
2021-01-03 16:00:00,2021-01-03,16:00,32.0,Scattered clouds.,4,0.0,49.0,1007.0,5,1695.63,9.72,87.74,0.13,73.43,83.22,111.65,17.99
2021-01-03 17:00:00,2021-01-03,17:00,30.0,Scattered clouds.,11,200.0,59.0,1008.0,5,1522.06,8.27,76.08,0.26,54.36,76.49,99.8,14.19
2021-01-03 18:00:00,2021-01-03,18:00,28.0,Passing clouds.,11,190.0,74.0,1009.0,5,1134.87,7.15,52.09,0.46,39.58,52.94,68.06,11.15
2021-01-03 19:00:00,2021-01-03,19:00,28.0,Passing clouds.,11,200.0,74.0,1010.0,4,814.44,6.71,36.67,0.57,32.42,33.9,44.06,10.13
2021-01-03 20:00:00,2021-01-03,20:00,28.0,Passing clouds.,9,230.0,74.0,1010.0,4,687.6,7.6,30.85,0.43,30.04,26.31,34.88,11.15
2021-01-03 21:00:00,2021-01-03,21:00,27.0,Passing clouds.,7,260.0,79.0,1011.0,3,667.57,9.61,28.79,0.24,31.47,24.63,32.94,12.79
2021-01-03 22:00:00,2021-01-03,22:00,27.0,Passing clouds.,9,250.0,79.0,1011.0,4,700.95,12.07,29.13,0.13,34.81,25.71,34.39,13.93
2021-01-03 23:00:00,2021-01-03,23:00,26.0,Passing clouds.,7,240.0,84.0,1010.0,4,747.68,15.42,29.82,0.06,39.1,27.12,36.19,14.31
2021-01-04 00:00:00,2021-01-04,00:00,26.0,Passing clouds.,7,230.0,84.0,1010.0,4,921.25,20.56,29.82,0.59,45.3,31.82,42.7,15.71
2021-01-04 01:00:00,2021-01-04,01:00,26.0,Passing clouds.,6,210.0,84.0,1010.0,4,1134.87,29.06,30.5,7.24,56.74,35.54,47.18,15.33
2021-01-04 02:00:00,2021-01-04,02:00,25.0,Passing clouds.,6,0.0,89.0,1009.0,4,1281.74,34.87,37.01,16.63,70.57,40.24,52.91,15.96
2021-01-04 03:00:00,2021-01-04,03:00,25.0,Passing clouds.,6,310.0,94.0,1008.0,4,1321.79,33.98,51.41,32.54,86.78,47.9,62.07,16.72
2021-01-04 04:00:00,2021-01-04,04:00,25.0,Passing clouds.,7,20.0,89.0,1009.0,4,781.06,9.28,38.73,70.81,50.55,30.45,38.42,8.36
2021-01-04 05:00:00,2021-01-04,05:00,24.0,Passing clouds.,6,50.0,89.0,1010.0,4,660.9,5.2,33.59,84.4,46.25,26.86,32.88,6.78
2021-01-04 06:00:00,2021-01-04,06:00,24.0,Passing clouds.,2,0.0,89.0,1010.0,4,667.57,3.05,33.24,92.98,49.11,28.5,33.91,6.46
2021-01-04 07:00:00,2021-01-04,07:00,24.0,Partly sunny.,7,10.0,83.0,1011.0,3,620.84,0.78,33.24,86.55,45.78,25.0,30.19,5.89
2021-01-04 08:00:00,2021-01-04,08:00,26.0,Scattered clouds.,11,20.0,70.0,1011.0,3,627.52,0.46,36.33,77.96,48.16,23.58,29.48,6.21
2021-01-04 09:00:00,2021-01-04,09:00,28.0,Scattered clouds.,6,0.0,62.0,1012.0,3,620.84,0.2,36.33,66.52,46.25,20.38,26.93,6.14
